rin_community,state_abbr,county,geoid_co
Pine Bluff,AR,Jefferson,05069
Cochise,AZ,Cochise,04003
Durango,CO,La Plata,08067
North Iowa,IA,Cerro Gordo,19033
North Iowa,IA,Poweshiek,19157
Emporia,KS,Crawford,20037
Emporia,KS,Lyon,20111
Pikeville,KY,Pike,21195
Berkshire,MA,Berkshire,25003
Waterville,ME,Kennebec,23011
Traverse City,MI,Grand Traverse,26055
Marquette,MI,Marquette,26103
Redwing,MN,Goodhue,27049
Cape Girardeau,MO,Cape Girardeau,29031
Wilson,NC,Wilson,37195
Taos,NM,Taos,35055
Portsmouth,OH,Scioto,39145
Pryor Creek,OK,Mayes,40097
Ada,OK,Pontotoc,40123
Independence,OR,Polk,41053
The Dalles,OR,Wasco,41065
Aberdeen,SD,Brown,46013
Cedar City,UT,Iron,49021
Shenandoah Valley,VA,Augusta,51015
NEK,VT,Caledonia,50005
NEK,VT,Essex,50009
NEK,VT,Orleans,50019
Randolph,VT,Orange,50017
Rutland,VT,Rutland,50021
Springfield,VT,Windsor,50027
Windham,VT,Windham,50025
Platteville,WI,Grant,55043
North-Central,WI,Portage,55097
